rank,constellation,main_id,ra,dec,otype,plx_value,pmra,pmdec,rvz_radvel,rvz_type,sp_type,bmag,vmag,constellation_code
16,Cancer,*   5 Cnc,120.37620137937,16.455311034210002,*,6.5859,3.99,-5.338,-2.28,v,B9.5Vn,5.97,5.99,Cnc
17,Cancer,HD  65257,119.63112894975,16.51868096195,*,1.917,-7.926,-3.358,17.99,v,K0,7.509,6.002,Cnc
18,Cancer,HD  72617,128.55560875229,8.452306678210002,*,15.7882,1.198,-26.587,13.9,v,F3IV,6.344,6.029,Cnc
19,Cancer,HD  65522,119.89606453532001,13.242166351010003,*,9.3205,-19.917,-15.548,27.52,v,K2,7.42,6.07,Cnc
20,Cancer,HD  68099,122.81916215862,9.82123526797,*,5.0276,-7.044,-16.253,30.0,v,B6III,5.956,6.072,Cnc
1,Leo,* eps Leo,146.46280673687792,23.77425377711222,*,14.3394,-46.154,-10.799,4.322,v,G1IIIa,3.79,2.98,Leo
2,Leo,* zet Leo,154.17256318434792,23.417316988991107,*,14.0377,21.161,-8.263,-12.32,v,F0IIIa,3.72,3.41,Leo
3,Leo,* ups Leo,174.23721152069376,-0.8237499422280555,*,18.3461,1.696,43.142,1.57,v,G9IIIbFe-0.5,5.31,4.3,Leo
4,Leo,* lam Leo,142.93012390931915,22.967981285818055,*,8.7555,-18.45,-36.303,24.27,v,K4.5III,5.85,4.31,Leo
5,Leo,* pi. Leo,150.05335839433042,8.044219645808056,*,6.8513,-32.181,-21.883,22.3,v,M2-III,6.3,4.7,Leo
6,Leo,* tau Leo,171.98433134626,2.85626503025,*,6.1072,16.851,-10.756,-8.82,v,G8-IIIa,5.94,4.943,Leo
7,Leo,*   6 Leo,142.98990418519,9.715765314789998,*,5.2776,-8.974,-12.737,18.55,v,K2.5IIIFe-0.5,6.44,5.07,Leo
8,Leo,* l Leo,162.31429315093,10.54519958042,*,9.1892,-3.569,-25.597,-6.8,v,A2V,5.338,5.312,Leo
9,Leo,*  79 Leo,171.00969812875,1.40776252577,*,8.7638,-16.268,-0.088,-9.87,v,G8III-IIIb,6.326,5.386,Leo
10,Leo,* p05 Leo,168.43980459464,-0.06950222502,*,6.2602,-46.541,2.767,4.39,v,A0V,5.374,5.404,Leo
11,Leo,*  37 Leo,154.16973994383,13.72833441766,*,4.805,-22.829,-14.784,5.14,v,M1III,7.02,5.41,Leo
12,Leo,*  18 Leo,146.59719713332,11.810043235640002,*,4.4601,-16.084,17.619,29.5446,v,K4III,7.142,5.644,Leo
